taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3638012	Hydrocotyle geraniifolia F.Muell.	3638012	Hydrocotyle geraniifolia F.Muell.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Hydrocotyle	3034601	Hydrocotyle geraniifolia	3638012	NE
3686035	Olax stricta R.Br.	3686035	Olax stricta R.Br.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Santalales	934	Olacaceae	6662	Olax	7326443	Olax stricta	3686035	NE
4087805	Utricularia biloba R.Br.	4087805	Utricularia biloba R.Br.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lentibulariaceae	2391	Utricularia	3172398	Utricularia biloba	4087805	LC
4596893	Hypselodoris saintvincentius Burn, 1962	4596893	Hypselodoris saintvincentius Burn, 1962	22	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Nudibranchia	980	Chromodorididae	7046	Hypselodoris	2292388	Hypselodoris saintvincentius	4596893	NE
4708972	Hypochrysops apelles (Fabricius, 1775)	4708972	Hypochrysops apelles (Fabricius, 1775)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Hypochrysops	1923699	Hypochrysops apelles	4708972	NE
4750757	Notagonum submetallicum (White, 1846)	4750757	Notagonum submetallicum (White, 1846)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Notagonum	4750756	Notagonum submetallicum	4750757	NE
4778263	Callococcus Ferris, 1918	4778263	Callococcus Ferris, 1918	21	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Asterolecaniidae	3265514	Callococcus	4778263			
5008310	Ancylotropis waterhousei Jekel, 1855	5008310	Ancylotropis waterhousei Jekel, 1855	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Anthribidae	4206	Ancylotropis	1168268	Ancylotropis waterhousei	5008310	NE
5187922	Ophiothrix caespitosa Lyman, 1879	5187922	Ophiothrix caespitosa Lyman, 1879	1	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiotrichidae	3249433	Ophiothrix	2275832	Ophiothrix caespitosa	5187922	NE
5191254	Aplysia juliana Quoy & Gaimard, 1832	5191254	Aplysia juliana Quoy & Gaimard, 1832	6	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Aplysiida	9682653	Aplysiidae	6814	Aplysia	2297330	Aplysia juliana	5191254	NE
5243039	Gymnogaster boletoides J.W.Cribb	5243039	Gymnogaster boletoides J.W.Cribb	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Gymnogaster	11081530	Gymnogaster boletoides	5243039	NE
5357677	Inga edulis Mart.	5357677	Inga edulis Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Inga	2965936	Inga edulis	5357677	LC
5795793	Conus aplustre Reeve, 1843	5795793	Conus aplustre Reeve, 1843	8	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Conidae	6779	Conus	9819702	Conus aplustre	5795793	LC
5809855	Eretes australis (Erichson, 1842)	5809855	Eretes australis (Erichson, 1842)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Dytiscidae	7824	Eretes	1038021	Eretes australis	5809855	NE
5859563	Halgerda albocristata Gosliner & Fahey, 1998	5859563	Halgerda albocristata Gosliner & Fahey, 1998	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Nudibranchia	980	Discodorididae	7041	Halgerda	2292367	Halgerda albocristata	5859563	NE
6034547	Eremophila glabra (R.Br.) Ostenf.	6034547	Eremophila glabra (R.Br.) Ostenf.	27	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390	Eremophila	3233433	Eremophila glabra	6034547	NE
6133182	Hyalobathra brevialis (Walker, 1859)	6133182	Hyalobathra brevialis (Walker, 1859)	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Hyalobathra	1885588	Hyalobathra brevialis	6133182	NE
6447564	Atriplex paludosa R.Br.	6447564	Atriplex paludosa R.Br.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Atriplex	10651755	Atriplex paludosa	6447564	NE
7979053	Olearia axillaris (DC.) F.Muell.	7979053	Olearia axillaris (DC.) F.Muell.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Olearia	3148688	Olearia axillaris	7979053	NE
